sample.id,media,strain,time.pt,replicate,ACE2,ACT1,ADR1,AGA2,AMN1,ASG7,ASH1,BAR1,BCY1,BEM3,BMH1,CAF40,CAT8,CCR4,CDC24,CDC25,CDC26,CDC28,CDC36,CDC39,CDC42,CLB2,CLB3,CLB6,CLN1,CLN2,CLN3,CTS1,CYR1,DCP1,DHH1,DIG1,DIG2,DIT1,DIT2,DMC1,DOM34,DSE2,EDC3,FBP1,FIT3,FKH1,FKH2,FLO10,FLO8,FUS1,FUS3,GAL83,GAP1,GCN1,GCN20,GCN4,GDH3,GIS1,GLN3,GPA1,GPA2,GPB1,GPB2,GPR1,HOG1,HOP1,HOT1,HSP150,HXK2,IME1,IME2,IME4,INO1,INO2,IPP1,IRA1,IRA2,ISC10,KAR5,KEM1,KGD2,KSS1,MATALPHA1,MATALPHA2,MCK1,MEI4,MEP2,MEP3,MET3,MF(ALPHA)1,MGA1,MIG1,MKS1,MOT2,MSB2,MSI1,MSN1,MSN2,MSN4,MUC1,NDT80,NPR1,NRG1,OSW1,PAT1,PBS2,PDA1,PDE1,PDE2,PGU1,PHD1,PIR3,PKH2,POP2,PRM1,PRM2,PRR1,PTP2,PTP3,RAS1,RAS2,RGA1,RGT1,RGT2,RIM101,RIM11,RIM13,RIM15,RIM21,RIM4,RIM8,RIM9,RME1,RPB4,RPB7,RTG1,RTG3,SCH9,SFL1,SFP1,SGA1,SHO1,SIP4,SIT4,SKO1,SMP1,SNF1,SNF3,SNF4,SOK2,SPO16,SPO19,SPS1,SPS100,SPS2,SPT3,SSK1,SSK2,SSP2,SST2,SSY5,STE11,STE12,STE18,STE2,STE20,STE3,STE4,STE5,STE50,STE7,STP1,STP2,SUM1,SWI4,SWI5,SWI6,TAP42,TEC1,TEP1,TIR1,TOR1,TOR2,TPK1,TPK2,TPK3,TUB4,UME6,URE2,WHI3,XBP1,YAK1,YPD1,YSW1,ZIP1
cmtc 121,YPD,574,48.0,e,111.75,40365.83,1371.833,15.5,286.6666,8.583333,1135.333,20.91666,5393.083,313.5,11729.16,744.6666,402.0833,430.75,853.4166,496.9166,237.75,387.3333,911.1666,1279.583,2516.25,503.0,339.4166,89.5,880.75,520.1666,1632.416,2115.75,1218.583,248.0833,1702.833,786.0,97.5,58.66666,25.33333,29.83333,282.9166,245.3333,819.0833,2764.833,2211.916,256.8333,147.6666,226.0833,188.5833,65.41666,1162.166,797.0,528.5,683.0833,697.25,9368.166,3019.25,1476.5,213.6666,669.8333,890.5833,223.4166,758.25,602.5,1593.833,32.0,74.41666,22177.5,6205.5,78.83333,92.58333,19.5,1315.25,511.3333,10568.25,939.5,2037.833,273.4166,28.58333,1182.333,4314.333,352.9166,574.0,376.0833,1244.083,14.0,371.9166,967.0,240.9166,18324.83,130.6666,297.9166,180.3333,304.5833,3903.083,232.1666,167.75,367.6666,1092.0,26585.08,23.41666,720.1666,838.0,5.5,471.25,333.75,8175.333,618.0,1446.083,136.0833,329.3333,6640.583,251.9166,627.5833,36.33333,10.83333,390.25,319.5833,382.3333,488.3333,423.5833,104.0,994.0,196.6666,1109.416,1065.416,144.5,549.0833,450.0833,34.5,269.3333,124.3333,583.75,646.8333,1042.333,409.75,276.5,358.25,596.0,772.4166,152.75,414.8333,540.5833,1020.916,362.4166,56.25,464.5,727.5833,707.8333,407.25,71.25,46.08333,39.83333,13143.25,12.58333,220.4166,395.5833,210.75,16.91666,867.5,177.5833,279.3333,459.9166,443.1666,83.0,637.0833,2360.333,324.25,560.75,140.6666,207.4166,809.4166,261.0833,478.9166,164.4166,183.5,200.25,120.4166,454.8333,42.83333,15212.41,203.0833,158.4166,436.75,1534.083,173.0833,293.5833,194.0833,309.1666,949.8333,1797.5,1933.0,345.25,49.16666,27.0
cmtc 137,YPD,574,72.0,e,53.58333,26627.16,1639.25,18.33333,213.6666,14.16666,861.5833,16.5,5769.75,195.0833,7847.583,520.3333,356.75,264.8333,651.9166,298.0,370.6666,169.4166,714.5,669.25,2098.166,283.4166,151.5833,50.91666,394.75,256.25,1710.666,1579.75,793.6666,131.8333,1065.666,589.1666,61.66666,79.75,26.5,33.66666,124.4166,163.8333,540.0833,2545.333,1487.5,154.4166,118.25,261.0833,123.5,28.25,832.75,574.25,784.25,289.4166,315.3333,7282.5,4154.583,1783.166,166.0833,294.5833,633.3333,107.1666,598.75,420.0833,932.4166,36.5,59.66666,14367.66,1091.666,102.5833,87.58333,20.5,2802.166,548.4166,6924.583,645.25,2246.083,200.8333,25.41666,561.6666,4709.833,212.3333,411.5833,323.6666,877.0833,9.25,463.0833,1168.666,205.9166,8767.583,129.0833,180.1666,109.0,209.0833,3077.333,203.0,120.5,333.9166,1218.083,22956.33,19.16666,1004.166,969.5833,24.33333,238.8333,268.3333,6558.083,619.25,1338.583,170.6666,278.9166,10698.83,156.8333,481.8333,38.66666,10.83333,224.75,244.9166,400.0833,346.3333,191.0833,70.41666,908.8333,159.1666,1036.083,769.4166,138.5,493.25,378.0,30.0,221.5,111.25,467.5,309.75,751.4166,353.3333,230.9166,274.1666,534.5833,476.1666,251.3333,235.5833,804.0,730.1666,218.4166,67.08333,254.3333,503.25,452.4166,329.9166,57.66666,22.0,31.0,31124.41,7.75,148.0,340.1666,135.0,5.833333,386.0,116.0833,173.1666,216.0833,425.25,64.33333,302.3333,1287.083,176.25,362.8333,98.41666,144.0833,683.9166,185.75,247.75,91.08333,76.0,81.08333,94.75,271.0,42.41666,3490.333,137.25,126.8333,439.0,1130.833,105.3333,197.0,182.5833,188.4166,694.0833,2631.833,1957.75,228.0,46.58333,23.0
cmtc 153,YPD,574,96.0,e,36.83333,12743.91,1724.5,15.66666,91.33333,3.833333,431.25,8.333333,3959.25,119.9166,5186.333,272.6666,301.0833,141.8333,452.75,244.0833,209.8333,105.0,462.4166,478.9166,955.4166,89.5,117.5833,34.83333,181.5833,122.4166,584.5,780.9166,526.0833,102.0833,610.75,334.9166,58.91666,49.66666,14.91666,19.0,100.6666,81.66666,407.0833,1545.25,908.1666,86.0,79.5,169.75,97.41666,22.66666,438.0,346.0,1863.5,145.3333,207.0833,5877.916,4253.333,1420.5,130.8333,160.8333,688.75,95.75,664.3333,350.5,415.0,28.0,40.66666,7433.0,191.5833,50.83333,55.58333,11.75,2051.666,387.0,2799.416,568.4166,1959.416,149.5,12.91666,309.5,3544.5,134.8333,187.1666,284.3333,424.25,8.75,636.1666,1180.583,73.5,4610.166,69.58333,127.6666,108.9166,147.5,1306.166,113.8333,84.16666,223.9166,870.3333,17930.0,10.66666,1075.75,743.75,13.41666,133.1666,218.25,3315.416,511.6666,716.0833,94.25,143.6666,8759.833,201.0833,262.5,16.91666,9.833333,92.58333,165.3333,269.8333,163.25,112.6666,45.08333,835.3333,121.3333,1233.0,501.6666,83.0,356.75,250.8333,30.41666,197.75,77.16666,296.25,220.9166,325.75,317.25,172.0833,150.8333,373.25,275.5,155.5833,124.0,1029.666,536.5833,103.75,42.5,166.5833,367.0833,211.6666,235.75,33.25,24.66666,20.33333,25713.58,5.583333,114.8333,238.5833,106.5833,6.75,229.3333,74.83333,157.0,110.9166,174.3333,21.75,195.9166,492.0833,138.75,184.4166,60.91666,99.16666,554.5833,176.25,188.6666,63.08333,57.66666,47.41666,66.58333,140.5833,26.33333,399.5833,87.58333,72.16666,288.8333,924.5,53.58333,64.66666,152.9166,136.0833,470.5,2255.166,1667.083,129.75,38.33333,17.41666
cmtc 169,YPD,574,0.0,f,275.9166,92196.66,450.75,39.75,822.5,17.41666,1922.833,65.08333,2542.416,691.8333,16625.83,1853.583,23.0,777.8333,1828.333,988.6666,334.5833,833.1666,1323.75,2944.0,5326.166,1790.083,744.6666,259.1666,1529.75,1634.0,4033.166,2448.333,1058.916,582.8333,3646.833,1407.166,193.1666,54.91666,25.83333,20.5,657.25,145.75,2233.166,24.08333,635.5833,709.5833,340.6666,303.5833,456.0,523.75,2796.5,1017.666,291.0,2691.75,2033.083,23685.08,32.0,954.8333,347.6666,1752.916,592.5,375.0833,317.9166,879.9166,3139.5,27.16666,117.6666,33139.41,39212.33,177.5,204.0833,7.583333,133.0,463.25,29840.08,1133.5,1383.5,309.5833,84.83333,2272.166,1254.416,1182.75,2098.75,910.75,3401.083,15.66666,352.75,1339.25,393.8333,45878.83,154.8333,358.4166,387.0,685.5,8138.75,515.0833,241.75,847.0833,42.16666,11997.25,18.91666,887.4166,539.5,21.33333,962.9166,547.5833,9245.916,570.5,1664.583,110.1666,420.1666,161.1666,168.4166,1041.916,410.0,30.08333,1005.5,678.5833,617.5833,863.0,765.9166,324.9166,1477.583,417.1666,1100.083,810.5833,269.0,298.3333,921.0,12.08333,104.0,227.6666,233.4166,1698.583,2647.666,555.4166,427.6666,1073.25,1278.416,2159.666,35.58333,1579.833,45.33333,1959.083,929.75,125.0833,647.9166,362.0833,1204.083,977.1666,213.5,68.66666,57.91666,13.75,10.66666,504.3333,723.0,481.25,73.66666,4335.916,251.4166,221.25,1457.75,1028.666,92.66666,1597.833,6148.083,487.4166,1119.666,140.6666,283.9166,944.5,368.3333,1296.083,497.8333,443.0833,533.3333,208.8333,904.0833,50.41666,1429.166,404.3333,380.3333,185.9166,471.1666,602.75,1157.833,438.0833,788.6666,2368.5,79.33333,665.9166,1222.75,89.0,37.75
cmtc 185,YPD,574,24.0,f,481.25,95400.58,610.1666,19.33333,671.6666,16.25,1919.75,13.25,2975.5,1102.666,23451.33,1949.833,46.33333,867.75,2439.416,1368.0,404.25,1415.333,1673.333,3946.416,7105.583,2363.666,1323.333,531.5,2515.333,1767.833,4187.833,2092.166,1304.0,1452.416,4694.666,2029.75,413.1666,54.83333,41.33333,30.83333,1187.166,160.25,2880.166,93.5,562.25,1114.916,645.9166,177.3333,850.6666,461.25,2145.416,1897.166,451.9166,3234.583,3064.75,19057.91,84.66666,1389.916,549.75,2769.416,814.0833,573.0,441.8333,1010.333,4376.666,27.75,336.0,30267.08,43366.5,206.3333,198.1666,21.0,231.6666,904.9166,36076.83,1604.666,1824.25,539.5833,129.5833,3764.25,2117.416,1804.583,1489.25,1588.166,3632.25,25.16666,296.3333,1526.0,491.5833,48158.58,145.8333,827.3333,776.3333,1080.0,10167.5,657.5833,523.0833,1472.5,61.41666,9040.25,37.75,1030.0,695.0,35.75,1160.083,877.9166,12478.25,890.0,1648.666,468.0,585.3333,251.75,283.3333,1340.416,325.1666,29.41666,1060.416,948.3333,994.1666,1262.166,1738.666,602.75,1562.583,422.5,1202.916,976.0,343.3333,381.6666,1144.75,23.66666,186.5,248.0,261.6666,3423.916,2556.083,706.8333,618.6666,1277.0,1434.166,2621.333,44.16666,1705.25,98.75,1993.333,1135.333,164.75,1046.416,373.4166,1632.333,1851.75,221.5,76.25,102.1666,150.6666,10.66666,795.1666,1091.833,638.3333,111.5833,6405.916,434.3333,360.5,2311.75,1216.25,68.25,2176.75,5179.583,734.6666,1169.333,307.8333,518.5833,1293.666,629.1666,2057.75,914.6666,762.25,956.0,512.5,2216.5,50.08333,936.8333,486.25,501.9166,389.5833,591.3333,1236.083,1353.916,726.8333,1249.0,2678.25,122.75,749.25,2261.416,136.25,33.75
cmtc 201,YPD,574,48.0,f,130.6666,40365.83,1534.083,10.83333,297.9166,19.5,1182.333,16.91666,6640.583,358.25,11729.16,720.1666,436.75,382.3333,880.75,430.75,248.0833,362.4166,994.0,1162.166,2211.916,646.8333,339.4166,104.0,939.5,520.1666,1476.5,2764.833,1279.583,286.6666,1702.833,758.25,89.5,49.16666,42.83333,20.91666,293.5833,223.4166,911.1666,2516.25,1218.583,273.4166,152.75,210.75,173.0833,65.41666,707.8333,797.0,549.0833,727.5833,602.5,9368.166,3019.25,1593.833,188.5833,697.25,809.4166,226.0833,838.0,583.75,1797.5,29.83333,74.41666,22177.5,6205.5,97.5,71.25,15.5,1244.083,464.5,10568.25,1092.0,2360.333,251.9166,27.0,1446.083,4314.333,333.75,540.5833,352.9166,1371.833,8.583333,371.9166,1020.916,304.5833,18324.83,92.58333,282.9166,167.75,313.5,3903.083,220.4166,164.4166,395.5833,867.5,26585.08,23.41666,786.0,819.0833,34.5,454.8333,329.3333,8175.333,669.8333,1315.25,177.5833,269.3333,5393.083,207.4166,627.5833,36.33333,14.0,450.0833,324.25,387.3333,409.75,443.1666,124.3333,967.0,144.5,1135.333,1109.416,140.6666,459.9166,488.3333,32.0,261.0833,136.0833,574.0,637.0833,1065.416,376.0833,240.9166,367.6666,596.0,744.6666,194.0833,390.25,478.9166,890.5833,345.25,58.66666,560.75,772.4166,683.0833,471.25,78.83333,39.83333,56.25,13143.25,5.5,213.6666,407.25,245.3333,12.58333,949.8333,158.4166,319.5833,511.3333,414.8333,83.0,618.0,2115.75,276.5,503.0,120.4166,200.25,853.4166,256.8333,496.9166,147.6666,203.0833,237.75,111.75,423.5833,28.58333,15212.41,232.1666,180.3333,528.5,1632.416,196.6666,279.3333,183.5,309.1666,1042.333,2037.833,1933.0,402.0833,46.08333,25.33333
cmtc 217,YPD,574,72.0,f,94.75,26627.16,1957.75,14.16666,188.4166,20.5,793.6666,10.83333,5769.75,212.3333,7847.583,548.4166,463.0833,264.8333,540.0833,309.75,230.9166,203.0,669.25,694.0833,1639.25,274.1666,180.1666,61.66666,481.8333,283.4166,1036.083,1783.166,877.0833,137.25,1091.666,534.5833,98.41666,46.58333,30.0,38.66666,166.0833,144.0833,651.9166,2545.333,1287.083,170.6666,129.0833,235.5833,118.25,25.41666,329.9166,574.25,633.3333,439.0,323.6666,7282.5,3490.333,1710.666,159.1666,315.3333,751.4166,156.8333,832.75,561.6666,1065.666,16.5,76.0,14367.66,1579.75,81.08333,57.66666,18.33333,2802.166,467.5,6924.583,908.8333,3077.333,221.5,24.33333,969.5833,4709.833,205.9166,394.75,378.0,861.5833,9.25,356.75,1168.666,173.1666,10698.83,107.1666,182.5833,135.0,213.6666,2246.083,138.5,123.5,268.3333,932.4166,22956.33,33.66666,1004.166,769.4166,23.0,298.0,254.3333,6558.083,598.75,804.0,126.8333,185.75,8767.583,195.0833,425.25,31.0,19.16666,228.0,261.0833,370.6666,294.5833,238.8333,67.08333,1130.833,105.3333,1338.583,730.1666,111.25,362.8333,386.0,42.41666,218.4166,91.08333,503.25,411.5833,589.1666,400.0833,191.0833,289.4166,493.25,452.4166,197.0,200.8333,784.25,645.25,209.0833,64.33333,346.3333,619.25,476.1666,278.9166,59.66666,26.5,36.5,31124.41,7.75,154.4166,340.1666,131.8333,5.833333,420.0833,87.58333,247.75,224.75,353.3333,53.58333,333.9166,1218.083,216.0833,271.0,70.41666,151.5833,714.5,251.3333,302.3333,79.75,120.5,116.0833,102.5833,256.25,28.25,4154.583,148.0,124.4166,520.3333,1487.5,109.0,163.8333,176.25,169.4166,683.9166,2631.833,2098.166,244.9166,50.91666,22.0
cmtc 233,YPD,574,96.0,f,53.58333,12743.91,1545.25,8.75,106.5833,13.41666,438.0,8.333333,3959.25,117.5833,5186.333,309.5,373.25,127.6666,387.0,169.75,141.8333,113.8333,462.4166,399.5833,1075.75,160.8333,112.6666,38.33333,284.3333,150.8333,610.75,1306.166,536.5833,103.75,636.1666,356.75,55.58333,47.41666,16.91666,19.0,122.4166,95.75,407.0833,2255.166,1233.0,108.9166,91.33333,166.5833,72.16666,12.91666,220.9166,325.75,780.9166,201.0833,181.5833,4610.166,3315.416,1420.5,97.41666,184.4166,688.75,87.58333,584.5,334.9166,501.6666,22.66666,40.66666,8759.833,424.25,60.91666,49.66666,21.75,2051.666,296.25,3544.5,664.3333,1863.5,138.75,17.41666,492.0833,2799.416,124.0,209.8333,288.8333,526.0833,5.583333,301.0833,908.1666,94.25,5877.916,79.5,105.0,99.16666,149.5,1724.5,102.0833,81.66666,188.6666,716.0833,17930.0,10.66666,870.3333,568.4166,15.66666,163.25,147.5,4253.333,478.9166,554.5833,110.9166,92.58333,7433.0,174.3333,244.0833,11.75,9.833333,119.9166,172.0833,235.75,187.1666,152.9166,45.08333,835.3333,74.83333,1180.583,452.75,77.16666,238.5833,275.5,30.41666,145.3333,66.58333,350.5,272.6666,415.0,262.5,134.8333,195.9166,317.25,269.8333,133.1666,136.0833,955.4166,431.25,114.8333,36.83333,207.0833,367.0833,229.3333,250.8333,34.83333,24.66666,28.0,25713.58,3.833333,86.0,211.6666,73.5,6.75,218.25,42.5,165.3333,140.5833,223.9166,26.33333,176.25,743.75,121.3333,197.75,58.91666,100.6666,511.6666,155.5833,157.0,50.83333,63.08333,57.66666,84.16666,191.5833,20.33333,1029.666,89.5,69.58333,346.0,924.5,64.66666,83.0,130.8333,129.75,470.5,1959.416,1667.083,143.6666,33.25,14.91666
cmtc 13,YPD,575,0.0,d,269.0,92196.66,358.4166,1664.583,685.5,54.91666,1133.5,6148.083,2691.75,709.5833,16625.83,1597.833,24.08333,647.9166,1853.583,1005.5,324.9166,954.8333,1383.5,3401.083,5326.166,1790.083,1041.916,393.8333,1407.166,1204.083,4335.916,1477.583,962.9166,988.6666,4033.166,1157.833,193.1666,42.16666,27.16666,25.83333,977.1666,92.66666,2272.166,23.0,456.0,765.9166,438.0833,283.9166,481.25,233.4166,2796.5,1222.75,241.75,2448.333,2542.416,23685.08,35.58333,863.0,362.0833,1959.083,487.4166,450.75,340.6666,744.6666,3139.5,30.08333,185.9166,29840.08,33139.41,65.08333,168.4166,13.75,117.6666,533.3333,39212.33,1182.75,1323.75,463.25,79.33333,2233.166,1634.0,1457.75,7.583333,420.1666,2647.666,18.91666,213.5,602.75,275.9166,10.66666,140.6666,515.0833,555.4166,723.0,8138.75,471.1666,347.6666,1073.25,45.33333,45878.83,32.0,678.5833,523.75,20.5,921.0,635.5833,11997.25,657.25,1922.833,104.0,334.5833,251.4166,204.0833,1100.083,110.1666,12.08333,887.4166,822.5,665.9166,1278.416,1254.416,427.6666,1339.25,298.3333,910.75,691.8333,208.8333,303.5833,833.1666,17.41666,133.0,145.75,177.5,2944.0,2159.666,570.5,417.1666,929.75,1119.666,2033.083,37.75,1429.166,57.91666,2098.75,847.0833,125.0833,777.8333,291.0,1698.583,1296.083,161.1666,154.8333,89.0,21.33333,15.66666,592.5,810.5833,497.8333,68.66666,3646.833,375.0833,259.1666,1579.833,1017.666,9245.916,1828.333,404.3333,547.5833,1028.666,221.25,352.75,944.5,380.3333,1529.75,539.5,504.3333,617.5833,387.0,788.6666,39.75,309.5833,317.9166,410.0,227.6666,368.3333,879.9166,904.0833,443.0833,1058.916,2368.5,73.66666,582.8333,1752.916,84.83333,50.41666
cmtc 29,YPD,575,24.0,d,451.9166,95400.58,695.0,1919.75,734.6666,145.8333,1632.333,7105.583,3234.583,867.75,23451.33,1604.666,61.41666,749.25,2363.666,1452.416,360.5,1249.0,1738.666,4187.833,6405.916,1705.25,1389.916,325.1666,3423.916,1472.5,4694.666,1588.166,1323.333,1562.583,5179.583,2117.416,404.25,84.66666,30.83333,50.08333,1114.916,136.25,2678.25,33.75,413.1666,936.8333,573.0,150.6666,762.25,441.8333,2975.5,1673.333,381.6666,2621.333,3064.75,19057.91,44.16666,2092.166,468.0,2261.416,948.3333,523.0833,618.6666,994.1666,3946.416,29.41666,296.3333,36076.83,48158.58,221.5,343.3333,16.25,122.75,877.9166,43366.5,1415.333,1767.833,518.5833,102.1666,2769.416,2145.416,1993.333,13.25,512.5,3632.25,37.75,186.5,1046.416,434.3333,23.66666,164.75,976.0,706.8333,1060.416,12478.25,591.3333,539.5833,1353.916,206.3333,30267.08,41.33333,956.0,1202.916,27.75,1216.25,904.9166,10167.5,814.0833,1526.0,549.75,850.6666,248.0,307.8333,1277.0,251.75,25.16666,1144.75,1489.25,890.0,1304.0,1851.75,585.3333,1340.416,373.4166,1169.333,1160.083,261.6666,531.5,1010.333,10.66666,177.3333,198.1666,283.3333,3764.25,2515.333,657.5833,671.6666,1080.0,1368.0,2556.083,68.25,1804.583,46.33333,2216.5,1236.083,129.5833,1030.0,481.25,1897.166,2176.75,160.25,54.83333,93.5,21.0,19.33333,795.1666,1648.666,638.3333,98.75,4376.666,491.5833,422.5,2057.75,1434.166,9040.25,2311.75,645.9166,827.3333,1102.666,336.0,501.9166,1262.166,610.1666,2029.75,776.3333,726.8333,914.6666,562.25,1824.25,76.25,2880.166,486.25,461.25,389.5833,602.75,1187.166,1135.333,629.1666,1293.666,2439.416,231.6666,1091.833,1949.833,111.5833,35.75
cmtc 45,YPD,575,48.0,d,83.0,40365.83,1315.25,867.5,251.9166,97.5,1065.416,1702.833,8175.333,248.0833,13143.25,758.25,333.75,313.5,967.0,520.1666,339.4166,371.9166,939.5,1162.166,2516.25,488.3333,382.3333,89.5,797.0,387.3333,2360.333,2211.916,1109.416,269.3333,1593.833,786.0,78.83333,56.25,32.0,34.5,395.5833,177.5833,819.0833,1933.0,838.0,240.9166,120.4166,136.0833,237.75,49.16666,1446.083,911.1666,720.1666,602.5,683.0833,10568.25,3019.25,2037.833,232.1666,637.0833,809.4166,164.4166,549.0833,503.0,1534.083,28.58333,92.58333,18324.83,6205.5,71.25,74.41666,5.5,1279.583,627.5833,11729.16,697.25,2115.75,273.4166,27.0,1135.333,4314.333,414.8333,8.583333,188.5833,1182.333,10.83333,329.3333,1244.083,256.8333,25.33333,124.3333,459.9166,203.0833,367.6666,5393.083,276.5,196.6666,707.8333,1020.916,26585.08,20.91666,744.6666,1371.833,15.5,362.4166,324.25,9368.166,574.0,2764.833,194.0833,345.25,6640.583,200.25,646.8333,42.83333,12.58333,436.75,376.0833,450.0833,511.3333,352.9166,111.75,772.4166,220.4166,1042.333,949.8333,144.5,478.9166,407.25,36.33333,309.1666,104.0,596.0,583.75,994.0,409.75,282.9166,304.5833,727.5833,853.4166,147.6666,430.75,286.6666,1218.583,358.25,58.66666,471.25,560.75,880.75,618.0,65.41666,39.83333,19.5,15212.41,14.0,207.4166,402.0833,226.0833,16.91666,528.5,167.75,261.0833,443.1666,540.5833,3903.083,669.8333,245.3333,293.5833,496.9166,130.6666,210.75,890.5833,279.3333,423.5833,140.6666,183.5,173.0833,158.4166,319.5833,29.83333,22177.5,223.4166,152.75,454.8333,1476.5,213.6666,297.9166,180.3333,390.25,1092.0,1797.5,1632.416,464.5,46.08333,23.41666
cmtc 61,YPD,575,72.0,d,61.66666,26627.16,1487.5,730.1666,212.3333,118.25,877.0833,1091.666,5769.75,191.0833,10698.83,561.6666,370.6666,254.3333,619.25,251.3333,264.8333,188.4166,714.5,683.9166,1783.166,378.0,173.1666,46.58333,420.0833,247.75,1338.583,2098.166,804.0,176.25,1218.083,503.25,64.33333,53.58333,33.66666,25.41666,151.5833,156.8333,645.25,3077.333,1710.666,159.1666,105.3333,216.0833,107.1666,30.0,467.5,651.9166,548.4166,362.8333,340.1666,7282.5,4154.583,1579.75,135.0,271.0,598.75,123.5,669.25,411.5833,1036.083,26.5,70.41666,14367.66,1639.25,76.0,67.08333,18.33333,2802.166,540.0833,6924.583,769.4166,2246.083,200.8333,23.0,633.3333,4709.833,213.6666,10.83333,228.0,1004.166,9.25,346.3333,1065.666,218.4166,16.5,131.8333,166.0833,126.8333,170.6666,3490.333,195.0833,124.4166,315.3333,908.8333,22956.33,19.16666,861.5833,969.5833,28.25,298.0,224.75,7847.583,534.5833,1130.833,197.0,256.25,8767.583,154.4166,452.4166,22.0,24.33333,235.5833,278.9166,394.75,356.75,283.4166,57.66666,932.4166,129.0833,1168.666,793.6666,116.0833,386.0,400.0833,38.66666,209.0833,111.25,493.25,439.0,832.75,302.3333,203.0,333.9166,463.0833,520.3333,205.9166,238.8333,751.4166,589.1666,230.9166,59.66666,268.3333,574.25,476.1666,353.3333,50.91666,20.5,36.5,31124.41,7.75,144.0833,323.6666,102.5833,5.833333,294.5833,87.58333,169.4166,221.5,425.25,2631.833,309.75,244.9166,182.5833,329.9166,79.75,138.5,694.0833,163.8333,274.1666,81.08333,98.41666,120.5,91.08333,261.0833,31.0,6558.083,137.25,109.0,481.8333,1287.083,94.75,180.1666,148.0,185.75,784.25,2545.333,1957.75,289.4166,42.41666,14.16666
cmtc 77,YPD,575,96.0,d,45.08333,12743.91,1667.083,373.25,117.5833,55.58333,438.0,462.4166,4253.333,129.75,5186.333,272.6666,317.25,136.0833,415.0,220.9166,187.1666,113.8333,407.0833,431.25,1180.583,152.9166,122.4166,30.41666,262.5,133.1666,716.0833,1075.75,526.0833,105.0,636.1666,325.75,49.66666,42.5,9.833333,14.91666,100.6666,91.33333,399.5833,2051.666,1233.0,89.5,86.0,141.8333,74.83333,16.91666,492.0833,334.9166,955.4166,188.6666,209.8333,5877.916,3315.416,1420.5,92.58333,149.5,610.75,94.25,584.5,288.8333,501.6666,22.66666,36.83333,7433.0,387.0,60.91666,38.33333,8.75,2255.166,356.75,4610.166,554.5833,1863.5,140.5833,12.91666,367.0833,3544.5,163.25,6.75,121.3333,511.6666,5.583333,269.8333,908.1666,81.66666,24.66666,66.58333,103.75,79.5,143.6666,1959.416,106.5833,87.58333,201.0833,835.3333,17930.0,8.333333,870.3333,664.3333,10.66666,166.5833,145.3333,3959.25,452.75,688.75,99.16666,114.8333,8759.833,169.75,244.0833,15.66666,13.41666,108.9166,157.0,223.9166,174.3333,112.6666,40.66666,743.75,97.41666,1029.666,536.5833,73.5,301.0833,235.75,28.0,195.9166,57.66666,284.3333,218.25,424.25,275.5,176.25,155.5833,350.5,296.25,127.6666,147.5,780.9166,478.9166,134.8333,33.25,181.5833,346.0,238.5833,229.3333,34.83333,20.33333,19.0,25713.58,3.833333,84.16666,250.8333,72.16666,11.75,184.4166,63.08333,150.8333,110.9166,211.6666,1306.166,197.75,138.75,124.0,191.5833,53.58333,102.0833,568.4166,165.3333,207.0833,47.41666,50.83333,58.91666,64.66666,160.8333,21.75,1545.25,95.75,77.16666,309.5,924.5,69.58333,83.0,119.9166,130.8333,470.5,2799.416,1724.5,172.0833,26.33333,17.41666
cmtc 93,YPD,575,0.0,e,185.9166,92196.66,387.0,2233.166,709.5833,73.66666,1204.083,6148.083,2542.416,691.8333,16625.83,1853.583,24.08333,592.5,1597.833,1028.666,380.3333,887.4166,1752.916,2796.5,5326.166,1529.75,921.0,298.3333,2098.75,1383.5,4335.916,1579.833,904.0833,1222.75,3401.083,954.8333,213.5,68.66666,27.16666,25.83333,1157.833,104.0,2033.083,30.08333,481.25,822.5,269.0,438.0833,523.75,241.75,2368.5,1254.416,221.25,2647.666,2448.333,23685.08,37.75,847.0833,334.5833,1477.583,487.4166,317.9166,352.75,765.9166,3139.5,32.0,145.75,33139.41,45878.83,125.0833,161.1666,10.66666,110.1666,504.3333,29840.08,1041.916,1278.416,427.6666,92.66666,1790.083,1339.25,1634.0,7.583333,443.0833,4033.166,20.5,259.1666,1100.083,393.8333,18.91666,133.0,347.6666,497.8333,678.5833,8138.75,420.1666,358.4166,657.25,39.75,39212.33,23.0,879.9166,417.1666,12.08333,1133.5,539.5,9245.916,582.8333,1959.083,533.3333,375.0833,208.8333,168.4166,1296.083,140.6666,21.33333,944.5,665.9166,555.4166,962.9166,1073.25,404.3333,1119.666,368.3333,863.0,723.0,193.1666,275.9166,1017.666,17.41666,89.0,154.8333,177.5,2691.75,2944.0,547.5833,463.25,929.75,1058.916,1698.583,50.41666,1828.333,57.91666,1664.583,833.1666,117.6666,617.5833,251.4166,1922.833,810.5833,233.4166,42.16666,84.83333,13.75,15.66666,647.9166,788.6666,456.0,65.08333,3646.833,362.0833,227.6666,1429.166,1407.166,11997.25,1457.75,685.5,602.75,977.1666,204.0833,309.5833,744.6666,303.5833,1323.75,515.0833,450.75,635.5833,410.0,777.8333,45.33333,988.6666,283.9166,324.9166,291.0,570.5,910.75,1182.75,340.6666,1005.5,2272.166,54.91666,471.1666,2159.666,79.33333,35.58333
